field,type,generated_by,obtained_by,sent_on_wire,secret_or_public,generation_step,used_in_kem,used_as_mac_key,covered_by_mac_directly,covered_by_mac_indirectly,used_in_kdf_secret,used_in_kdf_context,component,lifetime,acceptance_dependency,paper_location,notes
k_qkd,QKD 共享秘密,QKD 黑盒选取可用 key,Alice GetKey；Bob GetKeyById,不发送,秘密,步骤 3 Alice；步骤 4 Bob,not explicitly specified,no,no,no,σ_QKD,no,QKD,每个 key 最多输出一次；擦除 not explicitly specified,Bob 必须收到非 ⊥ 值才能运行 F,Def.7 p10;Fig.3 p13;§3.1 p14,经 k_h^1 关联 τ3 MAC key；QKD fail 语义不只泄漏
qkdKeyId,QKD key 唯一标识,QKD 节点,Alice GetKey；Bob 从消息获得,Alice→Bob 消息 3,公开,步骤 3,not explicitly specified,no,τ2 与 τ3,τ3 也经 τ2,no,c_QKD,QKD,标识对应一次输出；擦除 not explicitly specified,Bob 用 ID 查询；⊥ 即 fail,Def.7 p10;Fig.3 p13;§3.1 p14,ID 由 QKD 节点分配；端点内部绑定 not explicitly specified
s,会话标识,Bob 与 Alice 本地算 ct_1∥ct_2,双方,不单独发送,公开可重建,步骤 2 Bob；步骤 3 Alice,not explicitly specified,no,τ1 与 τ2,τ3 经 τ1 与 τ2,no,no,跨 KEM 消息,会话内,用于验证 τ1/τ2；不是正式 Accept 事件,Def.3 p8;Fig.3 p13,上层唯一性被假设；拼接的编码唯一性 not explicitly specified
τ_1,MAC tag,Bob 以 k_1' 生成,Alice 收到,Bob→Alice 消息 2,公开 tag,步骤 2,not explicitly specified,no,τ3,no,no,no,KEM 认证,会话内,Alice 必须验证通过才继续后续操作,Fig.3 p13,其自身消息为 pk_e∥s∥A；τ3 直接含 tag 字节
τ_2,MAC tag,Alice 以 k_2' 生成,Bob 收到,Alice→Bob 消息 3,公开 tag,步骤 3,not explicitly specified,no,τ3,no,no,no,KEM 认证,会话内,Bob 必须验证通过才解封及查询 QKD,Fig.3 p13,其自身消息为 qkdKeyId∥ct*∥s∥B；τ3 直接含 tag 字节
τ_3,MAC tag,Bob 以 k_h^1 生成,Alice 收到,Bob→Alice 消息 4,公开 tag,步骤 4,not explicitly specified,no,no,no,no,no,最终单向确认,会话内,Alice 验证失败则 fail；Bob 无反向 tag,Fig.3 p13;§3.1 p15,自身 MAC message 为 k_1∥qkdKeyId∥pk_e∥τ_1∥k_2∥τ_2
k_h,KDF 输出 512 bit,双方各运行 F,双方,不发送,秘密,步骤 4 前后各自派生,not explicitly specified,no,no,no,no,no,KDF,会话内；擦除 not explicitly specified,拆分得到 k_h^1 与 k_h^2,Fig.3 p13;§3.1 p15,F 的完整输入见 kdf-dataflow.md
k_h^1,KDF 输出前半 256 bit,双方拆分 k_h,双方,不发送,秘密,Bob 发 τ3 前；Alice 验 τ3 前,not explicitly specified,τ3 的 MAC key,no,no,no,no,KDF/确认,会话内；擦除 not explicitly specified,Alice 用于验 τ3；非最终 session key,Fig.3 p13;§3.1 p15,仅作确认密钥；不把它当作 k_h^2
k_h^2,KDF 输出后半 256 bit,双方拆分 k_h,双方,不发送,秘密,Bob 发 τ3 前；Alice 验 τ3 前,not explicitly specified,no,no,no,no,no,KDF/最终会话,会话内；Expire-Session 删除派生 session key,最终 key；正式 Accept 时点 not explicitly specified,§2.5 p8;Fig.3 p13;§3.1 p15,Bob 派生早于 Alice 验 τ3
lbl,固定协议 label,协议指定,双方,Fig.3 未单独发送,公开常量,协议配置,not explicitly specified,no,no,no,no,no,KDF,协议级固定,两侧 F 必须同 label 才有相同输出,§2.4 p6;Fig.3 p13;§3.1 p14,图示字符串为 KEM-QKD-Hybrid KEX；是 F 的全局 label 而非 component context；精确字节编码 not explicitly specified
L,KDF 输出长度,协议指定,双方,Fig.3 未单独发送,公开参数,协议配置,not explicitly specified,no,no,no,no,no,KDF,协议级固定,两侧取 512 bit 并等分,§2.4 p6;Fig.3 p13;§3.1 p14–15,L=512 bit；是 F 的全局长度参数；内部散列调用数 not explicitly specified
